Product Name,Price (PKR)
Olpers Full Cream Milk 250ml Pouch,90.00000
Dasani Water 500ml,50.00000
Dasani Mineral Water 1.5ltr,70.00000
Nestle Pure Life Water 500ml,50.00000
Nestle Podina Raita 250gm,185.00000
National Apple Jam 440gm,320.00000
National Mixed Fruit Jam 440gm,320.00000
National Strawberry Jam 440gm,530.00000
National Refined Salt 800gm,55.00000
National Iodized Refined Salt 800gm,55.00000
Shan Hyderabadi Mixed Pickle 310gm,300.00000
Youngs Mayo Dressing 2ltr,645.00000
Nestle F/v Guava Nectar 1ltr,365.00000
Nestle F/v Orange Juice 1ltr,415.00000
Nestle F/v Peach Juice 1ltr,365.00000
Nurpur Full Cream Milk 125ml,52.00000
Nurpur Milk 1ltr,330.00000
Good Milk 1ltr,329.00000
Good Milk 250ml,81.00000
Head & Shoulders Anti Hairfall Shampoo 185ml,460.00000
Head & Shoulders Dry Scalp Care Shampoo 185ml,460.00000
Tapal Danedar Round Tea Bag 80pcs,995.00000
Tapal Danedar Enveloped Tea Bags 100pcs,920.00000
Tapal Danedar Tea Bag 50pcs Elaichi,560.00000
Tapal Danedar Envolope Tea Bag 50pcs,510.00000
Tapal Danedar Round Tea Bag 16pcs,245.00000
Mezan Banaspati 1*5kg,2675.00000
Mezan Canola Oil 1*5ltr,2730.00000
Shezan Apple Juice 1 Ltr,200.00000
Shezan Jam Mango 370gm,260.00000
Shezan Jam Mix Fruit 370gm,260.01000
Shezan Jam Strawberry 370gm,260.00000
Shezan Tomato Ketchup 800gm,345.00000
Shezan Synthetic White Vinegar 800ml,180.00000
Jfm Dark Brown Hair Colour H45,1795.00000
Eva Canola Oil 3ltr Bottle,1744.92000
Eva Canola Oil 5ltr Bottle,2895.09000
Eva Cooking Oil Nozel Pack 1x5,2825.00000
Eva Cooking Oil 3ltr Bottle,1720.02000
Mitchells Pickle Mango Glass Jar 360gm,285.00000
Mitchells Tomato Ketchup 300gm,240.00000
Mitchells Chilli Garlic Pouch 400gm,215.00000
Mitchells Chilli Garlic Sauce Pouch 800gm,395.00000
Mitchells Tomato Ketchup Pouch 400gm,210.00000
Mitchells Jam Mango Tin 1050gm,615.00000
Mitchells Jam Strawberry Tin 1050gm,695.00000
Mitchells Jam Apple Tin 1050gm,615.00000
Mitchells Mango Jam 410gm,299.00000
Mitchells Diet Jam Mix Fruit 300gm,320.00000
Mitchells Diet Jam Golden Apple 300gm,320.00000
Mitchells Chutney Plum 420gm,395.00000
Mitchells Squash Orange 800ml,375.00000
Mitchells Paste Garlic Jar 320gm,450.00000
Mitchells Orange Marmalade Tin 1050gm,615.00000
Mitchells  Sweet Corn 450gm,415.00000
Mitchells Chick Peas 440gm,435.00000
Mitchells Paste Ginger 320gm,495.00000
Mitchells Tomato Paste Tin 850g,735.00000
Bonus Active 1kg,295.00000
Bonus Tristar 1kg,220.00000
Jfm Dark Brown Beard Colour 45,1795.00000
Jfm Medium Brown Hair Colour M35,1795.00000
Jfm Real Black Hair Colour H55,1795.00000
Jfm Light Brown Beard Colour M25,1695.00000
Jfm Medium Brown Beard Colour H35,1695.00000
Palmolive Intensive Shampoo 375ml,620.00000
Clear Cool Black Shine Shampoo 380ml,775.00000
Clear Complete Clean Shampoo 185ml,450.00000
Colgate Sparkle Tooth Paste 130gm,160.00000
Pantene Deep Black Shampoo 185ml,430.00000
Pantene Smooth & Strong Shampoo 185ml,430.00000
Gatsby Loose & Flow Hair Wax 75gm,545.00000
Pantene Milky Extra Shampoo 1ltr,1755.00000
Nivea Intensive Body Lotion 400ml,2095.00000
Nivea Creme 60ml,445.00000
Nivea Soft Cream 200ml,1494.00000
Surf Excel Matic Top Load 1kg,695.02000
Brite Maximum Power 2kg,990.00000
Brite Maximum Power 3kg,1565.00000
Qarshi Ilacheen Sharbat 800ml,485.00000
Qarshi Sandaleen Sharbat 800ml,485.00000
Dettol Original Soap 4x110gm,532.00000
Pears Natural Oils Soap 125gm,345.00000
Coffee Coffee Mate Coffee Creamer 400gm,1426.00000
Nescafe Classic Coffee 50gm,1095.00000
Lipton Yellow Label Tea 100bags,1070.00000
Tapal Family Mixture Jar 440gm,1095.00000
Tapal Family Mixture 430gm,895.00000
Tapal Family Mixture Tea 900gm,1795.00000
Tapal Green Tea Jasmine Jar 100gm,285.00000
Tapal Tezdum Tea  430gm,875.00000
Tapal Tezdum Tea 170gm,375.00000
Tapal Green Tea Jasmine 30bags,240.00000
Tapal Tezdum Tea 900gm,1775.00000
Tapal Green Tea Mango 30bags,240.00000
Tapal Green Tea Pure Green 30bags,240.00000
Tapal Green Tea  Tropical Peach 30bags,240.00000
Tapal Danedar Tea Jar 440gm,1095.00000
Bake Parlor Achari Macaroni 250gm,140.00000
Bake Parlor Chicken Manchurian 250gm,140.00000
Bake Parlor Seven Spice Macaroni 250gm,140.00000
Bake Parlor Tikka Macaroni 250gm,140.00000
Bake Parlor Elbow Macaroni 400gm,190.00000
Bake Parlor Hara Masala Spaghetti  250gm,140.00000
Bake Parlor Three Color Macroni 400gm,190.00000
Bake Parlor Macaroni 400gm,190.00000
Bake Parlor Spiral Macaroni 400gm,190.00000
Bake Parlor Shell Macaroni 400gm,190.00000
Bake Parlor Twisted Macaroni 400gm,190.00000
Bake Parlor Cut Vermicelli 400gm,99.00000
Bake Parlor Spaghetti 500gm,250.00000
Vital Tea  Pouch 350gm,675.00000
Bake Parlor  Wheat Spaghetti 450gm,275.00000
Bake Parlor Lasagne 400gm,365.00000
Shangrila Mango Pickle Jar 800gm,475.00000
Shangrila Garlic Chilli Sauce 800gm,350.00000
Shangrila Tomato Ketchup 800gm,350.00000
Shangrila Trio Sauce Pack 700ml,645.00000
Shangrila Soya Sauce 700ml,250.00000
Shangrila Traditional Sauce 700ml,275.00000
